t,state,control
0,1.0,-11.0
1,-0.15000000000000013,-11.0
2,-1.2425000000000002,1.6500000000000015
3,-1.0153750000000001,13.667500000000002
4,0.40214375000000024,11.169125000000001
5,1.4989490625000004,-4.4235812500000025
6,0.981643484375,-16.488439687500005
7,-0.7162826585937505,-10.798078328125001
8,-1.7602763584765633,7.879109244531255
9,-0.8843516160996093,19.363039943242196
10,1.096169959029591,9.727867777095703
11,2.0141482387876817,-12.0578695493255
12,0.7076538719157472,-22.155630626664497
13,-1.5432918843464898,-7.78419259107322
14,-2.244546549236487,16.976210727811388
15,-0.43469814899352355,24.690012041601356
16,2.056037962616289,4.781679638928759
17,2.43140402837835,-22.61641758877918
18,0.04819206808151444,-26.74544431216185
19,-2.6287619665387467,-0.5301127488966588
20,-2.550335143101475,28.916381631926214
21,0.46881977724622015,28.053686574116227
22,3.250747445795532,-5.157017549708422
23,2.572508318534913,-35.75822190375085
24,-1.1319392877669179,-28.297591503884043
25,-3.9051014737669765,12.451332165436096
26,-2.4647131835350176,42.95611621143674
27,1.954134096785408,27.111845018885194
28,4.567611893834657,-21.495475064639486
29,2.189683792678976,-50.24373083218123
30,-2.9441734801730957,-24.086521719468735
31,-5.205616978111314,32.38590828190405
32,-1.7067453010153422,57.26178675922445
33,4.10477063995787,18.774198311168764
34,5.776951939076852,-45.15247703953657
35,0.9728566381693522,-63.546471329845374
36,-5.430433326723653,-10.701423019862874
37,-6.229053962373758,59.73476659396019
38,0.055875395140949635,68.51959358611134
39,6.905040983995036,-0.614629346550446
40,6.498326000140239,-75.9554508239454
41,-1.4221353822613132,-71.48158600154264
42,-8.499187213302513,15.643489204874445
43,-6.509878932149943,93.49105934632763
44,3.1647209490903183,71.60866825364937
45,10.16735172700074,-34.8119304399935
46,6.177791096651353,-111.84086899700814
47,-5.315185357882031,-67.95570206316488
48,-11.844996296304418,58.467038936702345
49,-5.406042587818961,130.2949592593486
50,7.893755467506848,59.46646846600857
51,13.445714540732363,-86.83131014257533
52,4.090297799438211,-147.90285994805598
53,-10.904503085339298,-44.993275793820324
54,-14.858605510454364,119.94953393873229
55,-2.1207218410584154,163.444660614998
56,14.329780312494307,23.32794025164257
57,15.946085322033849,-157.62758343743738
58,-0.6139772878115828,-175.40693854237233
59,-18.123972277658236,6.753750165927411
60,-16.54239864718258,199.3636950542406
61,4.221090790600611,181.96638511900838
62,22.20667476297142,-46.43199869660672
63,16.453141155162175,-244.27342239268563
64,-8.796858141864499,-180.98455270678392
65,-26.455470505449668,96.76543956050949
66,-15.456153024126234,291.01017555994633
67,14.417672183074712,170.01768326538857
68,30.698556900459835,-158.59439401382184
69,13.304189654054658,-337.6841259050582
70,-21.129432419153893,-146.34608619460124
71,-34.70756941765632,232.42375661069283
72,-9.729815285704223,381.78326359421953
73,28.93500183800294,107.02796814274646
74,38.19104856037744,-318.28502021803234
75,4.452994110555327,-420.1015341641518
76,-37.77980901138763,-48.9829352161086
77,-40.78911208242911,415.5778991252639
78,2.808133434218746,448.68023290672016
79,47.53575005317983,-30.889467776406207
80,42.07001577288022,-522.8932505849782
81,-12.322810074261618,-462.7701735016824
82,-57.98368692071678,135.5509108168778
83,-41.52941149299316,637.8205561278845
84,24.329114694444954,456.8235264229248
85,68.79501160201518,-267.6202616388945
86,38.59323485802497,-756.7451276221669
87,-39.010939647092975,-424.5255834382747
88,-79.51295100856579,429.12033611802275
89,-32.62526984633522,874.6424610942237
90,56.47023975540392,358.87796830968745
91,89.53452459860247,-621.1726373094431
92,22.940534637728042,-984.8797705846272
93,-76.69446915262108,-252.34588101500847
94,-98.09433379649087,843.6391606788319
95,-8.825701038783123,1079.0376717613997
96,99.51935118929602,97.08271142661435
97,104.25165477249264,-1094.7128630822563
98,-10.43221427435762,-1146.768202497419
99,-124.58742381038165,114.75435701793381
100,-106.88261691806917,1370.4616619141982
101,35.507680119254104,1175.7087860987608
102,151.3031747231675,-390.5844813117951
103,104.67956785582959,-1664.3349219548425
104,-66.98790273244616,-1151.4752464141254
105,-178.78603223723638,736.8669300569078
106,-96.16003761968378,1966.6463546096002
107,105.31259972226044,1057.7604138165216
108,205.82301111779958,-1158.438596944865
109,79.68800086742309,-2264.053122295795
110,-150.7017114055276,-876.568009541654
111,-230.8234267894166,1657.7188254608036
112,-53.510372903865374,2539.0576946835827
113,203.07091520968618,588.6141019425191
114,251.7787796434538,-2233.780067306548
115,15.811833930626278,-2769.5665760779916
116,-261.9354153737042,-173.93017323688906
117,-266.23166192870787,2881.289569110746
118,35.20887807880217,2928.5482812157866
119,326.3032622964408,0.0
