t,state,control
93,-2.3795075777096635e-77,2.61745833548063e-76
94,3.569261366564497e-78,-3.9261875032209465e-77
95,-5.353892049846748e-79,5.8892812548314225e-78
96,8.030838074770117e-80,-8.833921882247129e-79
97,-1.2046257112155185e-80,1.3250882823370704e-79
98,1.8069385668232785e-81,-1.9876324235056064e-80
99,-2.710407850234921e-82,2.981448635258413e-81
100,4.065611775352381e-83,-4.4721729528876194e-82
101,-6.09841766302858e-84,6.708259429331439e-83
102,9.147626494542881e-85,-1.006238914399717e-83
103,-1.3721439741814322e-85,1.5093583715995754e-84
104,2.0582159612721506e-86,-2.2640375573993657e-85
105,-3.0873239419082288e-87,3.3960563360990516e-86
106,4.6309859128623467e-88,-5.094084504148581e-87
107,-6.946478869293523e-89,7.641126756222875e-88
108,1.0419718303940277e-89,-1.1461690134334304e-88
109,-1.5629577455910415e-90,1.7192535201501457e-89
110,2.344436618386565e-91,-2.5788802802252214e-90
111,-3.516654927579852e-92,3.8683204203378377e-91
112,5.2749823913697824e-93,-5.802480630506761e-92
113,-7.912473587054674e-94,8.703720945760141e-93
114,1.1868710380582019e-94,-1.305558141864022e-93
115,-1.7803065570873034e-95,1.9583372127960337e-94
116,2.6704598356309577e-96,-2.9375058191940535e-95
117,-4.0056897534464416e-97,4.406258728791086e-96
118,6.00853463016967e-98,-6.609388093186636e-97
119,-9.012801945254507e-99,0.0
